Name,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WAR,Birthdate,Debut,Birthplace
Enderson Franco,1,2019,2019,0,0,0,,3.38,5,0,2,0,0,0,5.1,4,2,2,1,1,0,4,0,0,0,20,0.12,"Dec 29, 1992","Sep 18, 2019","Anaco, Anzoategui"
Armando Galarraga,6,2007,2012,0,26,34,.433,4.78,100,91,3,2,1,0,542.0,536,313,288,94,226,7,346,19,5,13,2363,2.81,"Jan 15, 1982","Sep 15, 2007","Cumana, Sucre"
Víctor Gárate,1,2009,2009,0,0,0,,22.50,4,0,0,0,0,0,2.0,5,5,5,1,3,0,0,1,0,0,15,-0.17,"Sep 25, 1984","Sep 5, 2009","Maracay, Aragua"
Rich Garcés,10,1990,2002,0,23,10,.697,3.74,287,0,60,0,0,7,341.1,290,162,142,32,164,19,296,11,2,6,1476,4.79,"May 18, 1971","Sep 18, 1990","Maracay, Aragua"
Freddy García,15,1999,2013,2,156,108,.591,4.15,376,357,13,12,4,0,2264.0,2243,1101,1045,285,708,42,1621,67,9,95,9595,34.38,"Oct 6, 1976","Apr 7, 1999","Caracas, Distrito Federal"
Harvey García,1,2007,2007,0,0,1,.000,4.38,8,0,0,0,0,0,12.1,14,6,6,3,7,1,15,0,0,2,55,0.13,"Mar 16, 1984","Sep 3, 2007","Caracas, Distrito Federal"
Luis Garcia,4,2020,2023,0,28,19,.596,3.61,69,63,2,0,0,0,352.0,296,148,141,46,112,1,364,6,3,18,1440,4.63,"Dec 13, 1996","Sep 4, 2020","Bolivar, Bolivar"
Miguel García,3,1987,1989,0,0,2,.000,8.41,14,0,9,0,0,0,20.1,31,21,19,3,12,3,11,1,0,2,103,-0.87,"Apr 3, 1967","Apr 30, 1987","Caracas, Distrito Federal"
Ramón García,3,1991,1997,0,17,16,.515,4.84,95,37,19,1,1,5,312.2,318,179,168,50,104,6,200,17,5,5,1323,-0.18,"Feb 9, 1969","May 31, 1991","Guanare, Portuguesa"
Rosman García,2,2003,2004,0,1,2,.333,5.94,50,0,8,0,0,0,53.0,72,38,35,5,28,0,30,2,1,1,259,-0.39,"Jan 3, 1979","Apr 19, 2003","Maracay, Aragua"
Jeanmar Gómez,10,2010,2019,0,28,30,.483,4.51,315,46,130,0,0,40,555.1,619,307,278,62,184,28,358,20,0,22,2425,-0.03,"Feb 10, 1988","Jul 18, 2010","Caracas, Distrito Federal"
Yoendrys Gómez,2,2023,2024,0,0,0,,0.00,2,0,2,0,0,0,3.0,1,0,0,0,0,0,7,1,0,0,11,0.09,"Oct 15, 1999","Sep 28, 2023",Nirgua
Alberto González,7,2007,2013,0,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.01,"Apr 18, 1983","Sep 1, 2007","Maracaibo, Zulia"
Enrique González,6,2006,2011,0,4,8,.333,5.81,55,18,25,0,0,0,150.1,160,102,97,20,63,2,84,4,0,2,657,-0.34,"Jul 14, 1982","May 28, 2006","Ciudad Bolivar, Bolivar"
Geremi González,6,1997,2006,0,30,35,.462,4.93,131,83,11,4,2,0,572.2,588,340,314,73,238,15,354,24,6,11,2513,2.39,"Jan 8, 1975","May 27, 1997","Maracaibo, Zulia"
Germán González,2,1988,1989,0,3,2,.600,4.11,38,0,23,0,0,1,50.1,52,25,23,6,19,2,44,5,3,2,226,0.24,"Mar 7, 1962","Aug 5, 1988","Rio Caribe, Sucre"
Marwin González,11,2012,2022,0,0,0,,0.00,2,0,1,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,4,0.05,"Mar 14, 1989","Apr 6, 2012","Puerto Ordaz, Bolivar"
Wiki González,7,1999,2006,0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,0.03,"May 17, 1974","Aug 14, 1999","Aragua, Aragua"
Beiker Graterol,1,1999,1999,0,0,1,.000,15.75,1,1,0,0,0,0,4.0,4,7,7,3,4,1,2,0,0,0,20,-0.26,"Nov 9, 1974","Apr 9, 1999","Barquisimeto, Lara"
Brusdar Graterol,5,2019,2023,0,11,9,.550,2.80,181,5,42,0,0,11,183.1,154,66,57,10,40,9,141,14,0,6,732,3.43,"Aug 26, 1998","Sep 1, 2019","Calabozo, Guarico"
Mayckol Guaipe,2,2015,2016,0,0,3,.000,5.29,26,0,2,0,0,0,34.0,42,25,20,5,17,1,27,3,0,1,155,-0.65,"Aug 11, 1990","Jun 1, 2015","Barcelona, Anzoategui"
Deolis Guerra,6,2015,2021,0,12,6,.667,4.54,136,0,39,0,0,0,168.2,165,95,85,27,44,0,145,9,1,7,710,-0.31,"Apr 17, 1989","Jun 27, 2015","San Felix, Bolivar"
Junior Guerra,7,2015,2021,0,31,25,.554,4.06,213,61,36,0,0,3,509.2,447,251,230,66,239,8,465,20,3,40,2189,5.21,"Jan 16, 1985","Jun 12, 2015","San Felix, Bolivar"
Luis Guillorme,7,2018,2024,0,0,0,,13.50,4,0,4,0,0,0,4.0,7,6,6,1,2,0,0,0,0,0,21,-0.13,"Sep 27, 1994","May 11, 2018","Caracas, Distrito Federal"
J.C. Gutiérrez,6,2007,2014,0,7,17,.292,4.49,264,3,91,0,0,24,286.1,285,155,143,33,104,16,241,11,0,11,1241,-0.50,"Jul 14, 1983","Aug 19, 2007","Puerto La Cruz, Anzoategui"
Ángel Guzmán,4,2006,2009,0,3,10,.231,4.82,88,14,19,0,0,1,157.0,151,86,84,20,73,5,143,10,1,13,689,1.39,"Dec 14, 1981","Apr 26, 2006","Caracas, Distrito Federal"
Óscar Henríquez,3,1997,2002,0,1,2,.333,6.06,49,0,17,0,0,2,52.0,47,38,35,9,30,4,45,3,0,4,232,-0.59,"Jan 28, 1974","Sep 7, 1997","La Guaira, La Guaira"
Ubaldo Heredia,1,1987,1987,0,0,1,.000,5.40,2,2,0,0,0,0,10.0,10,6,6,2,3,1,6,1,0,0,42,0.01,"May 4, 1956","May 12, 1987","Ciudad Bolivar, Bolivar"
Carlos Hernández,5,2020,2024,0,7,18,.280,5.15,127,25,22,0,0,4,229.0,224,137,131,28,112,3,200,7,3,14,1004,0.29,"Mar 11, 1997","Sep 1, 2020","Ciudad Guayana, Bolivar"
Carlos Hernández,3,2001,2004,0,9,8,.529,4.54,35,33,0,0,0,0,170.2,173,89,86,23,91,5,136,8,2,4,765,2.29,"Apr 22, 1980","Aug 18, 2001","Guacara, Carabobo"
Darwinzon Hernández,4,2019,2022,0,3,4,.429,5.06,91,1,9,0,0,0,85.1,75,54,48,10,73,1,133,11,0,8,412,0.48,"Dec 17, 1996","Apr 23, 2019","Ciudad Bolivar, Bolivar"
Elieser Hernández,6,2018,2024,0,10,22,.313,5.15,95,49,12,0,0,0,297.1,295,180,170,73,97,7,283,20,2,5,1288,-0.12,"May 3, 1995","May 10, 2018","Ocumare del Tuy, Miranda"
Félix Hernández,15,2005,2019,6,169,136,.554,3.42,419,418,0,25,11,0,2729.2,2487,1157,1037,264,805,16,2524,105,7,156,11284,49.87,"Apr 8, 1986","Aug 4, 2005","Valencia, Carabobo"
Pedro Hernández,3,2012,2014,0,3,5,.375,7.33,16,14,1,0,0,0,66.1,98,54,54,13,26,1,33,1,1,1,312,-1.06,"Apr 12, 1989","Jul 18, 2012","Barquisimeto, Lara"
Yoel Hernández,1,2007,2007,0,0,0,,5.28,14,0,7,0,0,0,15.1,20,9,9,2,1,1,13,0,0,0,67,-0.05,"Apr 15, 1980","May 5, 2007","Ciudad Bolivar, Bolivar"
Yonny Hernández,3,2021,2023,0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0.03,"May 4, 1998","Aug 5, 2021","Maturin, Monagas"
Alex Herrera,2,2002,2003,0,0,0,,5.11,15,0,4,0,0,0,12.1,10,7,7,3,9,1,11,0,0,1,56,0.03,"Nov 5, 1979","Sep 13, 2002","Maracaibo, Zulia"
José Herrera,2,2022,2023,0,0,0,,9.00,2,0,2,0,0,0,2.0,4,2,2,0,0,0,0,0,0,0,10,-0.04,"Feb 24, 1997","Apr 9, 2022","San Carlos, Cojedes"
Ronald Herrera,1,2017,2017,0,0,1,.000,6.00,2,0,1,0,0,0,3.0,3,2,2,1,1,0,3,1,0,0,14,-0.05,"May 3, 1995","Jun 14, 2017","Maracay, Aragua"
Edwin Hurtado,3,1995,1997,0,8,9,.471,6.67,43,15,8,1,0,2,144.1,167,111,107,26,85,6,79,7,0,15,662,-0.84,"Feb 1, 1970","May 22, 1995","Barquisimeto, Lara"
Edgar Ibarra,1,2015,2015,0,0,0,,2.25,2,0,1,0,0,0,4.0,4,1,1,0,3,0,3,0,0,1,19,0.07,"May 31, 1989","Jun 2, 2015","Valencia, Carabobo"
Gregory Infante,3,2010,2018,0,3,2,.600,3.56,67,0,24,0,0,0,68.1,59,28,27,4,32,6,60,3,0,2,288,0.98,"Jul 10, 1987","Sep 7, 2010","Caracas, Distrito Federal"
César Jiménez,6,2006,2015,0,2,3,.400,4.05,97,3,27,0,0,0,104.1,96,47,47,10,45,0,80,2,1,8,441,1.04,"Nov 12, 1984","Sep 11, 2006","Cumana, Sucre"
Eduardo Jiménez,1,2019,2019,0,0,0,,5.91,8,0,2,0,0,0,10.2,12,7,7,1,5,0,8,0,0,1,49,0.06,"Apr 4, 1995","May 7, 2019","Araya, Sucre"
Jorge Julio,9,2001,2009,0,17,34,.333,4.43,453,0,265,0,0,99,467.0,437,259,230,65,233,21,448,19,1,52,2065,1.47,"Mar 3, 1979","Apr 26, 2001","Caracas, Distrito Federal"
Luis Leal,6,1980,1985,0,51,58,.468,4.14,165,151,6,27,3,1,946.0,968,476,435,101,320,24,491,22,6,23,4057,10.56,"Mar 21, 1957","May 25, 1980","Barquisimeto, Lara"
Wil Ledezma,9,2003,2011,0,15,25,.375,5.40,192,40,45,0,0,0,396.1,440,261,238,45,196,9,283,13,5,20,1803,-1.67,"Jan 21, 1981","Apr 2, 2003","Valle de la Pascua, Guarico"
Arcenio León,1,2017,2017,0,0,0,,12.15,6,0,3,0,0,0,6.2,7,9,9,0,6,1,2,0,0,0,31,-0.27,"Sep 22, 1986","May 28, 2017","Maracaibo, Zulia"
Danny Leon,1,1992,1992,0,1,1,.500,5.89,15,0,3,0,0,0,18.1,18,14,12,5,10,0,15,3,0,0,84,-0.30,"Apr 3, 1967","Jun 6, 1992","La Concepcion, Zulia"
Sandy León,12,2012,2023,0,0,0,,7.00,8,0,8,0,0,0,9.0,8,7,7,4,1,0,2,1,0,0,37,-0.07,"Mar 13, 1989","May 14, 2012","Maracaibo, Zuila"
Felipe Lira,7,1995,2001,0,26,46,.361,5.32,163,79,22,4,3,1,577.1,656,372,341,84,222,17,348,28,2,22,2592,5.00,"Apr 26, 1972","Apr 27, 1995","Santa Teresa del Tuy, Miranda"
Mauricio Llovera,4,2020,2023,0,3,3,.500,5.80,54,1,24,0,0,0,59.0,65,44,38,10,28,4,57,6,0,3,277,-0.32,"Apr 17, 1996","Sep 6, 2020","El Tigre, Anzoategui"
Pablo López,7,2018,2024,1,44,44,.500,3.95,138,138,0,1,1,0,771.0,705,352,338,95,201,12,798,43,2,22,3188,12.17,"Mar 7, 1996","Jun 30, 2018","Cabimas, Zulia"
Urbano Lugo,6,1985,1990,0,6,7,.462,5.31,50,19,11,1,0,0,162.2,185,103,96,33,67,2,91,7,0,8,721,-0.53,"Aug 12, 1962","Apr 28, 1985","Punto Fijo, Falcon"
Andrés Machado,4,2017,2023,0,7,3,.700,4.48,137,0,29,0,0,0,148.2,148,87,74,25,57,3,120,8,1,7,646,0.05,"Apr 22, 1993","Sep 2, 2017","Urama, Carabobo"
Julio Machado,3,1989,1991,0,7,5,.583,3.12,101,0,43,0,0,6,147.0,115,54,51,16,83,7,151,5,0,8,623,2.56,"Dec 1, 1965","Sep 7, 1989","San Carlos del Zulia, Zulia"
Jean Machi,5,2012,2017,0,13,2,.867,3.38,194,0,44,0,0,6,191.2,164,76,72,18,57,6,152,2,1,10,776,1.99,"Feb 1, 1982","Sep 3, 2012","El Tigre, Anzoategui"
Luís Madero,1,2021,2021,0,0,0,,9.00,6,0,3,0,0,0,12.0,13,12,12,3,8,1,4,1,0,0,56,-0.33,"Apr 15, 1997","May 10, 2021","Maracay, Aragua"
Germán Márquez,8,2016,2023,1,65,56,.537,4.41,176,173,0,4,2,0,1016.0,1002,533,498,141,302,13,983,32,4,55,4296,15.91,"Feb 22, 1995","Sep 8, 2016","San Felix, Bolivar"
David Martínez,2,2013,2014,0,1,0,1.000,6.38,7,0,3,0,0,0,18.1,21,15,13,2,5,0,12,0,1,1,80,-0.36,"Aug 4, 1987","Aug 21, 2013","Cumana, Sucre"
Willie Martínez,1,2000,2000,0,0,0,,3.00,1,0,0,0,0,0,3.0,1,1,1,0,1,0,1,0,0,0,11,0.08,"Jan 4, 1978","Jun 14, 2000","Barquisimeto, Lara"
Frank Mata,1,2010,2010,0,0,0,,7.79,15,0,6,0,0,0,17.1,24,16,15,2,8,3,9,2,0,1,85,-0.36,"Mar 11, 1984","May 26, 2010","Barcelona, Anzoategui"
Yoervis Medina,3,2013,2015,0,10,9,.526,3.08,146,0,43,0,0,2,146.0,120,52,50,10,79,10,147,9,0,17,635,2.82,"Jul 27, 1988","Apr 16, 2013","Puerto Cabello, Carabobo"
